node04:1627305:1627305 [0] NCCL INFO cudaDriverVersion 11060
node04:1627305:1627305 [0] NCCL INFO Bootstrap : Using ib0:10.3.1.4<0>
node04:1627305:1627305 [0] NCCL INFO NET/Plugin : No plugin found (libnccl-net.so), using internal implementation
node04:1627305:1627331 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB [RO]; OOB ib0:10.3.1.4<0>
node04:1627305:1627331 [0] NCCL INFO Using network IB
node04:1627305:1627331 [0] NCCL INFO Setting affinity for GPU 0 to 03ffff
node04:1627305:1627331 [0] NCCL INFO Trees [0] -1/-1/-1->1->0 [1] -1/-1/-1->1->0 [2] 0/-1/-1->1->-1 [3] 0/-1/-1->1->-1
node04:1627305:1627331 [0] NCCL INFO Channel 00/0 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0
node04:1627305:1627331 [0] NCCL INFO Channel 01/0 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0
node04:1627305:1627331 [0] NCCL INFO Channel 02/0 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0
node04:1627305:1627331 [0] NCCL INFO Channel 03/0 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0
node04:1627305:1627331 [0] NCCL INFO Channel 00/0 : 1[2a000] -> 0[2a000] [send] via NET/IB/0
node04:1627305:1627331 [0] NCCL INFO Channel 01/0 : 1[2a000] -> 0[2a000] [send] via NET/IB/0
node04:1627305:1627331 [0] NCCL INFO Channel 02/0 : 1[2a000] -> 0[2a000] [send] via NET/IB/0
node04:1627305:1627331 [0] NCCL INFO Channel 03/0 : 1[2a000] -> 0[2a000] [send] via NET/IB/0
node04:1627305:1627331 [0] NCCL INFO Connected all rings
node04:1627305:1627331 [0] NCCL INFO Connected all trees
node04:1627305:1627331 [0] NCCL INFO threadThresholds 8/8/64 | 16/8/64 | 512 | 512
node04:1627305:1627331 [0] NCCL INFO 4 coll channels, 4 p2p channels, 2 p2p channels per peer
node04:1627305:1627331 [0] NCCL INFO comm 0x2511070 rank 1 nranks 2 cudaDev 0 busId 2a000 - Init COMPLETE
node04:1627305:1627335 [0] NCCL INFO Channel 02/1 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0/Shared
node04:1627305:1627335 [0] NCCL INFO Channel 03/1 : 0[2a000] -> 1[2a000] [receive] via NET/IB/0/Shared
node04:1627305:1627336 [0] NCCL INFO Channel 02/1 : 1[2a000] -> 0[2a000] [send] via NET/IB/0/Shared
node04:1627305:1627336 [0] NCCL INFO Channel 03/1 : 1[2a000] -> 0[2a000] [send] via NET/IB/0/Shared
node04:1627305:1627305 [0] NCCL INFO comm 0x2511070 rank 1 nranks 2 cudaDev 0 busId 2a000 - Destroy COMPLETE
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: -2532.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: -2537.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: -2536.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: -2536.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: -2534.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: -2539.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: -2539.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: -2540.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: -2538.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: -2541.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 10 | time: -2542.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 11 | time: -2542.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 12 | time: -2540.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 13 | time: -2547.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 14 | time: -2547.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 15 | time: -2548.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 16 | time: 2836.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 17 | time: 2835.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 18 | time: 2830.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 19 | time: 2830.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: 2830.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: 2829.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: 2824.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: 2824.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: 2824.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: 2824.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: 2824.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: 2824.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: 2818.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: 2818.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 10 | time: 2815.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 11 | time: 2821.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 12 | time: 2817.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 13 | time: 2813.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 14 | time: 2813.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 15 | time: 2814.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 16 | time: 2812.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 17 | time: 2811.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 18 | time: 2811.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 19 | time: 2811.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: 2807.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: 2806.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: 2805.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: 2803.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: 2801.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: 2802.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: 2799.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: 2798.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: 2797.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: 2797.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 10 | time: 2794.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 11 | time: 2796.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 12 | time: 2794.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 13 | time: 2792.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 14 | time: 2790.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 15 | time: 2796.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 16 | time: 2796.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 17 | time: 2794.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 18 | time: 2793.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 19 | time: 2794.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: 2797.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: 2793.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: 2795.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: 2792.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: 2790.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: 2789.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: 2790.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: 2790.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: 2789.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: 2788.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 10 | time: 2784.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 11 | time: 2784.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 12 | time: 2784.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 13 | time: 2785.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 14 | time: 2784.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 15 | time: 2782.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 16 | time: 2780.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 17 | time: 2775.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 18 | time: 2776.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 19 | time: 2775.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: 2775.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: 2772.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: 2771.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: 2770.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: 2770.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: 2769.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: 2770.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: 2771.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: 2771.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: 2771.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 10 | time: 2770.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 11 | time: 2767.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 12 | time: 2769.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 13 | time: 2769.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 14 | time: 2767.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 15 | time: 2770.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 16 | time: 2763.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 17 | time: 2761.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 18 | time: 2763.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 19 | time: 2759.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: 2760.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: 2757.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: 2757.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: 2761.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: 2757.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: 2758.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: 2760.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: 2756.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: 2756.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: 2752.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 10 | time: 2754.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 11 | time: 2752.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 12 | time: 2756.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 13 | time: 2753.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 14 | time: 2754.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 15 | time: 2754.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 16 | time: 2755.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 17 | time: 2752.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 18 | time: 2754.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 19 | time: 2757.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: 2753.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: 2752.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: 2754.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: 2752.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: 2752.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: 2751.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: 2749.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: 2750.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: 2746.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: 2744.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 10 | time: 2740.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 11 | time: 2743.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 12 | time: 2740.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 13 | time: 2738.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 14 | time: 2736.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 15 | time: 2742.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 16 | time: 2744.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 17 | time: 2743.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 18 | time: 2745.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 19 | time: 2743.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 0 | time: 2743.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 1 | time: 2741.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 2 | time: 2740.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 3 | time: 2748.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 4 | time: 2745.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 5 | time: 2745.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 6 | time: 2744.500000 us
DEVICE | sendrecv.h | send - runrecv | iteration 7 | time: 2742.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 8 | time: 2741.000000 us
DEVICE | sendrecv.h | send - runrecv | iteration 9 | time: 2740.000000 us
